,H_IMDB,H_IMDA,H_CTL,M_IMDA,M_IMDB,M_CTL,R_IMDA,R_IMDB,R_CTL
LOC100740041,2.822293465,4.291703154,4.452283747,3.90116672,3.527301479,3.606131595,3.363678297,3.738394639,4.079867488
LOC100740042,2.584652077,3.301565039,4.692104591,2.431087018,2.002460795,1.995592167,1.908971418,1.788499013,2.964099425
LOC100740044,0.834319789,0.689640326,0.565348935,0.610864847,0.674656622,0.57521287,0.614360227,0.538986194,0.743923256
LOC100740045,34.37893115,35.35534722,35.95596109,34.75295276,34.4946357,32.33108266,34.80727992,36.47098891,34.69824313
LOC100740046,25.31670024,166.2693224,129.6114587,1673.280454,491.0934308,6243.845644,952.4299479,884.8910214,695.1671491
LOC100740047,2.711323725,2.69449411,2.023733168,2.475758237,2.472608254,2.337807654,2.516453038,2.209507876,2.508771439
LOC100740048,7.196099291,3.21495986,4.601227492,3.59524379,5.893948705,2.772194948,5.314846878,6.480768214,3.138899487
LOC100740049,28.22473833,28.77219561,32.02834505,30.36127317,28.21349863,26.98114942,29.04715665,33.27624829,26.2720828
LOC100740050,12.22357198,11.3034665,12.20172381,11.85213687,12.42863634,12.11720833,12.93572549,13.21668629,12.06386252
LOC100740051,166.5061253,156.1912051,142.9989175,151.4619258,147.028674,148.1830471,159.4144294,149.5928931,158.7013895
LOC100740052,54.11469067,54.33703158,52.45538062,52.90950577,50.80901582,49.99464299,53.49563899,53.25567822,50.75707785
LOC100740053,0.096024203,0.085555328,0.091344118,0.056323575,0.148681964,0.044531321,0.066374212,0.060342793,0.153591895
